year,city,quantidade_registros,area_ha_total
2021,TIMBO GRANDE,9,16.1472
2021,TRES BARRAS,3,3.082
2021,TREVISO,1,1.7653
2021,TROMBUDO CENTRAL,1,4.004
2021,URUBICI,2,8.1478
2021,VARGEAO,1,5.8348
2021,VARGEM,2,10.9161
2021,VIDAL RAMOS,5,14.2467
2021,VIDEIRA,2,5.0358
2021,WITMARSUM,3,7.7612
2021,XAXIM,2,7.799
2021,ZORTEA,2,7.5485
2022,ABDON BATISTA,4,7.5598
2022,ABELARDO LUZ,12,20.849
2022,AGROLANDIA,4,9.2623
2022,AGRONOMICA,1,0.4946
2022,AGUA DOCE,16,70.7059
2022,AGUAS DE CHAPECO,3,2.7277
2022,AGUAS MORNAS,7,7.7975
2022,ALFREDO WAGNER,8,8.7424
2022,ALTO BELA VISTA,5,4.2192
2022,ANCHIETA,2,1.7284
2022,ANGELINA,19,15.8002
2022,ANITA GARIBALDI,8,30.6155
2022,ANITAPOLIS,8,7.1299
2022,ANTONIO CARLOS,2,2.3647
2022,APIUNA,2,1.1516
2022,ARABUTA,2,3.7694
2022,ARAQUARI,4,16.4716
2022,ARROIO TRINTA,1,0.9546
2022,ASCURRA,1,0.4511
2022,ATALANTA,3,3.8101
2022,AURORA,3,7.8871
2022,BALNEARIO PICARRAS,2,18.7358
2022,BANDEIRANTE,1,0.9427
2022,BARRA BONITA,2,2.004
2022,BARRA VELHA,1,2.604
2022,BELA VISTA DO TOLDO,2,2.9451
2022,BELMONTE,3,3.2064
2022,BENEDITO NOVO,1,0.3483
2022,BIGUACU,1,1.7703
2022,BLUMENAU,1,1.6075
2022,BOCAINA DO SUL,2,5.7133
2022,BOM JARDIM DA SERRA,3,4.8398
2022,BOM JESUS DO OESTE,3,2.2767
2022,BOM RETIRO,3,3.4499
2022,BOTUVERA,2,6.5705
2022,BRACO DO NORTE,3,2.7269
2022,BRUNOPOLIS,15,236.6423
2022,BRUSQUE,2,2.346
2022,CACADOR,6,7.154
2022,CAIBI,3,6.2663
2022,CALMON,5,10.7815
2022,CAMBORIU,1,1.2749
2022,CAMPO ALEGRE,6,14.1124
2022,CAMPO BELO DO SUL,8,10.23
2022,CAMPO ERE,1,1.9421
2022,CAMPOS NOVOS,11,13.8214
2022,CANELINHA,1,0.7126
2022,CANOINHAS,6,18.9949
2022,CAPAO ALTO,1,5.5573
2022,CAPINZAL,3,3.533
2022,CATANDUVAS,4,6.5669
2022,CAXAMBU DO SUL,2,2.0948
2022,CELSO RAMOS,4,5.008
2022,CERRO NEGRO,5,7.7301
2022,CHAPADAO DO LAGEADO,1,0.8878
2022,CHAPECO,4,4.5547
2022,COCAL DO SUL,1,0.7089
2022,CONCORDIA,28,30.6855
2022,CORONEL FREITAS,6,4.6923
2022,CORONEL MARTINS,1,0.5507
2022,CORREIA PINTO,6,14.5983
2022,CORUPA,4,4.6331
2022,CRICIUMA,3,6.1034
2022,CUNHA PORA,1,0.3511
2022,CUNHATAI,1,0.3473
2022,CURITIBANOS,14,158.6122
2022,DESCANSO,5,4.637
2022,DIONISIO CERQUEIRA,7,7.5847
2022,DONA EMMA,2,1.9771
2022,ENTRE RIOS,1,0.3021
2022,ERVAL VELHO,4,2.7088
2022,FAXINAL DOS GUEDES,1,1.1308
2022,FLOR DO SERTAO,1,0.676
2022,FORMOSA DO SUL,2,1.2478
2022,FORQUILHINHA,1,0.9808
2022,FRAIBURGO,16,23.3053
2022,FREI ROGERIO,1,3.0287
2022,GALVAO,2,5.6036
2022,GARUVA,1,0.8372
2022,GASPAR,4,4.2166
2022,GRAO-PARA,13,10.9302
2022,GRAVATAL,2,0.7876
2022,GUARACIABA,6,6.8668
2022,GUARUJA DO SUL,2,1.1494
2022,GUATAMBU,2,3.178
2022,IBIAM,1,0.6457
2022,IBICARE,1,0.581
2022,IBIRAMA,1,1.3455
2022,ICARA,1,2.3365
2022,ILHOTA,1,2.3452
2022,IMBUIA,4,3.5366
2022,INDAIAL,1,2.0358
2022,IPIRA,9,18.2918
2022,IPORA DO OESTE,3,5.0942
2022,IPUACU,3,1.9306
2022,IPUMIRIM,13,12.9862
2022,IRACEMINHA,4,8.0689
2022,IRANI,5,9.5138
2022,IRATI,1,3.1001
2022,IRINEOPOLIS,1,2.4388
2022,ITA,1,0.6958
2022,ITAIOPOLIS,16,24.1579
2022,ITAJAI,4,12.213
2022,ITAPIRANGA,3,2.023
2022,ITAPOA,1,11.2793
2022,ITUPORANGA,10,13.8098
2022,JABORA,10,7.6313
2022,JAGUARUNA,1,0.7762
2022,JOACABA,8,10.0563
2022,JOINVILLE,3,6.0819
2022,JOSE BOITEUX,1,2.4161
2022,LAGES,6,9.7607
2022,LAURO MULLER,2,5.5867
2022,LEBON REGIS,12,22.6343
2022,LEOBERTO LEAL,10,12.3388
2022,LINDOIA DO SUL,9,15.0546
2022,LUIZ ALVES,1,0.4896
2022,LUZERNA,3,1.0619
2022,MACIEIRA,4,5.7341
2022,MAFRA,29,58.5037
